,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,,
Geography,Category,Data Type,Unit,Currency Conversion,Current Constant,2018,2019,2020,2021,2022,2023
Israel,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,527.6","7,049.7","6,307.4","8,417.8","8,748.2","8,774.5"
Israel,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,93.5,94.0,95.1,98.5,102.7,103.2
Jordan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,791.3","2,734.6","2,642.9","2,891.4","3,202.9","3,506.5"
Jordan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,135.9,134.8,132.4,138.0,146.1,152.3
Kenya,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,732.1","1,930.2","1,818.4","1,944.4","2,254.3","2,130.1"
Kenya,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,174.2,186.2,198.4,223.7,243.3,265.9
Kuwait,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,643.8,661.0,489.1,527.5,706.2,694.0
Kuwait,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,126.9,128.7,130.9,135.2,140.9,144.2
Lebanon,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,304.5","2,380.1",626.2,772.6,"1,314.3","1,442.0"
Lebanon,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,119.1,121.6,222.4,551.6,"1,454.3","2,710.1"
Morocco,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"3,474.4","3,506.8","3,190.7","3,908.6","3,766.2","4,053.7"
Morocco,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,102.3,102.0,101.5,101.6,107.3,110.2
Nigeria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,808.5","3,036.8","2,303.2","2,348.0","2,676.5","1,881.6"
Nigeria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,215.1,223.7,239.2,268.6,310.8,347.6
Oman,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,543.1","2,284.8","1,504.8","1,998.9","2,629.0","2,926.9"
Oman,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.6,98.6,97.4,97.5,98.8,99.7
Qatar,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,582.3","2,648.7","2,404.0","2,523.2","2,953.7","2,727.7"
Qatar,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.0,107.8,104.6,106.6,111.4,115.1
Saudi Arabia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,937.6","32,741.6","29,611.6","33,576.9","36,667.9","39,036.1"
Saudi Arabia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,111.9,109.9,117.9,126.5,130.8,133.2
South Africa,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"10,367.5","9,639.1","7,794.6","10,857.6","11,392.4","10,614.0"
South Africa,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,146.6,151.6,158.5,167.0,176.7,186.5
Tanzania,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,653.9,683.7,738.7,798.6,884.8,944.2
Tanzania,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,142.6,146.5,157.7,160.5,175.1,182.1
Tunisia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,602.6,600.0,457.4,588.4,637.8,721.6
Tunisia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,166.6,176.0,171.9,186.0,202.6,213.5
Uganda,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,232.9,254.0,264.4,298.4,309.0,350.4
Uganda,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,128.3,135.0,154.5,153.7,154.2,159.7
United Arab Emirates,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,147.8","2,235.9","2,299.8","2,444.7","2,917.3","3,090.7"
United Arab Emirates,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.1,97.5,91.9,100.3,124.4,129.2
North America,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"512,663.2","504,858.4","512,063.9","666,371.5","691,200.0","717,148.6"
Canada,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"66,227.3","64,587.2","54,910.6","66,843.8","66,723.1","71,815.7"
Canada,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,117.0,118.9,122.9,130.4,137.3,128.0
USA,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"446,435.9","440,271.1","457,153.3","599,527.8","624,476.9","645,332.8"
USA,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.9,102.5,104.2,117.5,132.4,133.1
Western Europe,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"419,511.5","410,030.8","376,769.4","408,789.5","394,353.5","436,261.5"
Austria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"7,842.4","7,180.8","6,967.9","7,474.3","7,016.1","7,676.3"
Austria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,105.1,105.8,106.7,109.1,120.5,127.8
Belgium,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,315.1","8,145.7","7,630.5","7,272.7","7,730.6","9,017.7"
Belgium,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.9,113.0,115.1,117.7,127.0,129.4
Denmark,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,974.8","7,139.3","7,348.7","7,952.8","7,745.4","8,282.4"
Denmark,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,96.4,97.0,97.0,99.4,108.2,109.7
Finland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,589.5","4,299.8","4,075.1","4,429.6","3,588.1","3,814.4"
Finland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.5,100.1,101.3,104.4,111.4,113.4
France,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"51,915.7","49,564.1","41,625.0","43,659.4","41,624.6","48,954.4"
France,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.7,110.2,110.8,111.9,117.3,118.1
Germany,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"93,715.4","97,070.6","98,073.4","93,806.7","82,840.2","88,006.9"
Germany,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.3,110.1,110.1,112.4,123.6,125.8
Greece,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,252.8","4,628.3","4,286.3","5,311.0","5,598.3","5,931.1"
Greece,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.8,102.0,102.2,103.3,106.9,113.4
Ireland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"5,115.8","5,155.3","4,367.8","4,384.0","3,897.3","4,385.9"
Ireland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,80.8,80.6,82.1,88.0,97.1,102.3
Italy,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"40,859.9","39,629.1","34,059.7","38,852.7","40,727.2","43,435.1"
Italy,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,115.4,116.8,118.5,120.9,123.5,124.9
Netherlands,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"13,114.4","12,445.0","12,916.6","13,789.1","12,771.9","14,236.9"
Netherlands,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,114.1,114.7,116.5,120.7,127.2,133.9
Norway,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"9,734.4","9,484.3","9,008.2","10,992.7","10,905.0","10,120.8"
Norway,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,109.5,110.8,112.7,115.0,119.9,122.3
Portugal,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,115.0","7,718.4","6,170.3","6,567.4","7,347.6","8,163.4"
Portugal,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.1,112.4,113.9,116.7,124.7,130.2
Spain,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,204.6","26,659.9","20,572.7","25,460.8","24,147.3","26,823.9"
Spain,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,113.6,114.7,115.3,117.6,126.5,134.9
Sweden,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"8,519.4","8,438.3","8,212.7","10,895.2","10,404.8","9,979.5"
Sweden,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,97.6,100.4,103.1,106.3,114.2,121.1
Switzerland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"9,069.9","8,022.9","9,808.6","10,061.4","9,692.9","9,978.3"
Switzerland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,74.6,75.4,78.5,79.5,84.3,85.2
Turkey,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"39,603.8","34,253.5","31,739.3","36,287.6","39,067.3","50,392.7"
Turkey,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,184.0,176.4,176.9,225.0,293.6,332.6
United Kingdom,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"75,341.0","77,024.1","66,988.6","78,310.6","76,036.6","83,487.7"
United Kingdom,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.3,116.2,122.4,131.0,142.5,146.1
Americas,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"654,510.8","639,845.7","613,227.9","785,854.3","832,487.5","880,867.1"
APEC,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"989,934.6","971,484.6","969,943.2","1,167,776.6","1,198,557.2","1,246,522.7"
ASEAN,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"63,919.8","68,293.8","58,577.8","61,297.7","66,596.9","72,477.4"
BRICS,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"296,097.1","293,909.1","290,895.0","334,939.2","348,598.2","352,498.7"
Developed Countries,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,073,130.8","1,045,091.7","1,018,261.6","1,204,177.0","1,205,797.3","1,267,569.4"
EMEA,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"592,595.1","586,766.8","542,503.8","595,223.9","598,477.7","644,816.4"
Emerging and Developing Asia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"269,499.4","273,317.9","273,710.6","313,184.9","314,244.3","325,638.6"
Emerging and Developing Countries,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"609,599.8","604,396.5","558,249.2","636,784.5","680,630.9","729,667.7"
EU,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"320,634.2","315,015.6","289,515.7","310,151.2","296,350.2","326,109.1"
Europe,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"492,361.8","484,157.3","451,190.0","491,716.3","485,294.2","528,106.4"
Eurozone,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"274,465.3","269,995.8","246,860.5","258,788.4","244,922.3","269,088.9"
G7,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"847,048.8","836,433.6","823,399.2","979,373.1","982,446.0","1,032,205.3"
G20,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,354,292.4","1,327,517.4","1,289,587.7","1,515,860.5","1,550,759.8","1,632,682.0"
GCC,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"39,009.2","41,739.3","37,400.0","42,222.7","47,127.8","49,767.0"
Mercosur,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"64,483.0","59,556.1","44,193.4","49,441.2","62,120.0","66,726.3"
Middle East and North Africa,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"71,646.8","74,096.6","64,940.4","73,249.8","80,845.4","84,792.5"
MINT,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"112,791.9","109,093.1","91,013.3","102,989.1","114,164.4","140,635.8"
NAFTA,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"555,693.9","546,870.4","542,988.9","703,313.0","733,806.4","773,558.5"
OECD,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,160,629.4","1,124,785.3","1,081,689.8","1,282,338.8","1,292,618.6","1,381,806.3"
Sub-Saharan Africa,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"23,668.3","23,241.2","20,641.6","25,226.1","27,137.8","26,314.4"
,,,,,,,,,,,
Research Sources:,,,,,,,,,,,
"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles: Euromonitor International from national statistics/Eurostat/UN/OECD",,,,,,,,,,,
"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices: Euromonitor International from national statistics/Eurostat/UN/OECD",,,,,,,,,,,
,,,,,,,,,,,
Date Exported (GMT): 17/2/2567 18:14:05,,,,,,,,,,,
© Euromonitor International,,,,,,,,,,,
